config,benchmark,seed,spearman,n,path
E2,fireport_hf,42,0.5392,2578,results/per_sample_predictions/E2_seed42/fireport_hf.csv
E2,fireport_hf,43,0.5214,2578,results/per_sample_predictions/E2_seed43/fireport_hf.csv
E2,fireport_hf,44,0.5351,2578,results/per_sample_predictions/E2_seed44/fireport_hf.csv
E2,megascale_test,42,0.6656,28172,results/per_sample_predictions/E2_seed42/megascale_test.csv
E2,megascale_test,43,0.6634,28172,results/per_sample_predictions/E2_seed43/megascale_test.csv
E2,megascale_test,44,0.6632,28172,results/per_sample_predictions/E2_seed44/megascale_test.csv
E2,s2648,42,0.5834,2648,results/per_sample_predictions/E2_seed42/s2648.csv
E2,s2648,43,0.5711,2648,results/per_sample_predictions/E2_seed43/s2648.csv
E2,s2648,44,0.5842,2648,results/per_sample_predictions/E2_seed44/s2648.csv
E2,s4346,42,0.4966,3969,results/per_sample_predictions/E2_seed42/s4346.csv
E2,s4346,43,0.4828,3969,results/per_sample_predictions/E2_seed43/s4346.csv
E2,s4346,44,0.4934,3969,results/per_sample_predictions/E2_seed44/s4346.csv
E2,s461,42,0.648,461,results/per_sample_predictions/E2_seed42/s461.csv
E2,s461,43,0.6608,461,results/per_sample_predictions/E2_seed43/s461.csv
E2,s461,44,0.6609,461,results/per_sample_predictions/E2_seed44/s461.csv
E2,s571,42,0.3981,571,results/per_sample_predictions/E2_seed42/s571.csv
E2,s571,43,0.3976,571,results/per_sample_predictions/E2_seed43/s571.csv
E2,s571,44,0.3825,571,results/per_sample_predictions/E2_seed44/s571.csv
E2,s669,42,0.4582,669,results/per_sample_predictions/E2_seed42/s669.csv
E2,s669,43,0.4794,669,results/per_sample_predictions/E2_seed43/s669.csv
E2,s669,44,0.4716,669,results/per_sample_predictions/E2_seed44/s669.csv
E2,s783,42,0.6362,783,results/per_sample_predictions/E2_seed42/s783.csv
E2,s783,43,0.6444,783,results/per_sample_predictions/E2_seed43/s783.csv
E2,s783,44,0.6478,783,results/per_sample_predictions/E2_seed44/s783.csv
E2,s8754,42,0.568,8228,results/per_sample_predictions/E2_seed42/s8754.csv
E2,s8754,43,0.5615,8228,results/per_sample_predictions/E2_seed43/s8754.csv
E2,s8754,44,0.5654,8228,results/per_sample_predictions/E2_seed44/s8754.csv
E2,ssym_direct,42,0.5125,342,results/per_sample_predictions/E2_seed42/ssym_direct.csv
E2,ssym_direct,43,0.495,342,results/per_sample_predictions/E2_seed43/ssym_direct.csv
E2,ssym_direct,44,0.5138,342,results/per_sample_predictions/E2_seed44/ssym_direct.csv
E2,ssym_inverse,42,0.3553,342,results/per_sample_predictions/E2_seed42/ssym_inverse.csv
E2,ssym_inverse,43,0.3856,342,results/per_sample_predictions/E2_seed43/ssym_inverse.csv
E2,ssym_inverse,44,0.3306,342,results/per_sample_predictions/E2_seed44/ssym_inverse.csv
E2noOOD,fireport_hf,42,0.5366,2578,results/per_sample_predictions/E2noOOD_seed42/fireport_hf.csv
E2noOOD,fireport_hf,43,0.5373,2578,results/per_sample_predictions/E2noOOD_seed43/fireport_hf.csv
E2noOOD,fireport_hf,44,0.547,2578,results/per_sample_predictions/E2noOOD_seed44/fireport_hf.csv
E2noOOD,megascale_test,42,0.6704,28172,results/per_sample_predictions/E2noOOD_seed42/megascale_test.csv
E2noOOD,megascale_test,43,0.6625,28172,results/per_sample_predictions/E2noOOD_seed43/megascale_test.csv
E2noOOD,megascale_test,44,0.6683,28172,results/per_sample_predictions/E2noOOD_seed44/megascale_test.csv
E2noOOD,s2648,42,0.583,2648,results/per_sample_predictions/E2noOOD_seed42/s2648.csv
E2noOOD,s2648,43,0.5679,2648,results/per_sample_predictions/E2noOOD_seed43/s2648.csv
E2noOOD,s2648,44,0.5859,2648,results/per_sample_predictions/E2noOOD_seed44/s2648.csv
E2noOOD,s4346,42,0.4996,3969,results/per_sample_predictions/E2noOOD_seed42/s4346.csv
E2noOOD,s4346,43,0.4751,3969,results/per_sample_predictions/E2noOOD_seed43/s4346.csv
E2noOOD,s4346,44,0.4906,3969,results/per_sample_predictions/E2noOOD_seed44/s4346.csv
E2noOOD,s461,42,0.6228,461,results/per_sample_predictions/E2noOOD_seed42/s461.csv
E2noOOD,s461,43,0.6292,461,results/per_sample_predictions/E2noOOD_seed43/s461.csv
E2noOOD,s461,44,0.6078,461,results/per_sample_predictions/E2noOOD_seed44/s461.csv
E2noOOD,s571,42,0.3607,571,results/per_sample_predictions/E2noOOD_seed42/s571.csv
E2noOOD,s571,43,0.3957,571,results/per_sample_predictions/E2noOOD_seed43/s571.csv
E2noOOD,s571,44,0.359,571,results/per_sample_predictions/E2noOOD_seed44/s571.csv
E2noOOD,s669,42,0.4375,669,results/per_sample_predictions/E2noOOD_seed42/s669.csv
E2noOOD,s669,43,0.444,669,results/per_sample_predictions/E2noOOD_seed43/s669.csv
E2noOOD,s669,44,0.4522,669,results/per_sample_predictions/E2noOOD_seed44/s669.csv
E2noOOD,s783,42,0.638,783,results/per_sample_predictions/E2noOOD_seed42/s783.csv
E2noOOD,s783,43,0.6424,783,results/per_sample_predictions/E2noOOD_seed43/s783.csv
E2noOOD,s783,44,0.6595,783,results/per_sample_predictions/E2noOOD_seed44/s783.csv
E2noOOD,s8754,42,0.5666,8228,results/per_sample_predictions/E2noOOD_seed42/s8754.csv
E2noOOD,s8754,43,0.5636,8228,results/per_sample_predictions/E2noOOD_seed43/s8754.csv
E2noOOD,s8754,44,0.5728,8228,results/per_sample_predictions/E2noOOD_seed44/s8754.csv
E2noOOD,ssym_direct,42,0.5307,342,results/per_sample_predictions/E2noOOD_seed42/ssym_direct.csv
E2noOOD,ssym_direct,43,0.4999,342,results/per_sample_predictions/E2noOOD_seed43/ssym_direct.csv
E2noOOD,ssym_direct,44,0.5577,342,results/per_sample_predictions/E2noOOD_seed44/ssym_direct.csv
E2noOOD,ssym_inverse,42,0.3314,342,results/per_sample_predictions/E2noOOD_seed42/ssym_inverse.csv
E2noOOD,ssym_inverse,43,0.3898,342,results/per_sample_predictions/E2noOOD_seed43/ssym_inverse.csv
E2noOOD,ssym_inverse,44,0.3274,342,results/per_sample_predictions/E2noOOD_seed44/ssym_inverse.csv
