config,seed,benchmark,metric,value,n
G1,42,s669,spearman,0.4011243040421752,669
G1,42,s669,pearson,0.36894371947196347,669
G1,42,s669,rmse,1.5605905421704944,669
G1,42,s669,mae,1.1130106995196842,669
G1,42,s461,spearman,0.5674770376038606,461
G1,42,s461,pearson,0.5638250427430201,461
G1,42,s461,rmse,1.0994325177547477,461
G1,42,s461,mae,0.8212749207727692,461
G1,42,s783,spearman,0.5758870025381582,783
G1,42,s783,pearson,0.5719309174383621,783
G1,42,s783,rmse,1.7056197437992986,783
G1,42,s783,mae,1.1657307588805754,783
G1,42,s2648,spearman,0.5487392012605623,2648
G1,42,s2648,pearson,0.5359810883995298,2648
G1,42,s2648,rmse,1.2826414822980177,2648
G1,42,s2648,mae,0.960421286925696,2648
G1,42,s8754,spearman,0.5179217569894198,8228
G1,42,s8754,pearson,0.4744327651120258,8228
G1,42,s8754,rmse,1.772364298125741,8228
G1,42,s8754,mae,1.170453670768987,8228
G1,42,ssym_direct,spearman,0.6564752159967122,342
G1,42,ssym_direct,pearson,0.6272866720396088,342
G1,42,ssym_direct,rmse,1.2293167145823038,342
G1,42,ssym_direct,mae,0.8686384294530627,342
G1,42,ssym_inverse,spearman,0.03979146000924934,342
G1,42,ssym_inverse,pearson,0.04044103716841642,342
G1,42,ssym_inverse,rmse,2.3047625585832114,342
G1,42,ssym_inverse,mae,1.6530939710724075,342
G1,42,s571,spearman,0.33521387040981804,571
G1,42,s571,pearson,0.29207886904284847,571
G1,42,s571,rmse,9.081480261924803,571
G1,42,s571,mae,6.0207948589211435,571
G1,42,s4346,spearman,0.46239998435912094,3969
G1,42,s4346,pearson,0.4178045703804209,3969
G1,42,s4346,rmse,7.760877357704799,3969
G1,42,s4346,mae,4.810454249105133,3969
G1,42,megascale_test,spearman,0.6185170279624465,28172
G1,42,megascale_test,pearson,0.6621750965205699,28172
G1,42,megascale_test,rmse,0.8593054494513761,28172
G1,42,megascale_test,mae,0.6519690513658811,28172
G1,43,s669,spearman,0.3702349102582127,669
G1,43,s669,pearson,0.322179835057512,669
G1,43,s669,rmse,1.6376660109509014,669
G1,43,s669,mae,1.1761120441543726,669
G1,43,s461,spearman,0.5625066507474552,461
G1,43,s461,pearson,0.535883580755029,461
G1,43,s461,rmse,1.1459963313210606,461
G1,43,s461,mae,0.8532008988835289,461
G1,43,s783,spearman,0.5843655661197512,783
G1,43,s783,pearson,0.5783411614540616,783
G1,43,s783,rmse,1.678689838795551,783
G1,43,s783,mae,1.160419564829761,783
G1,43,s2648,spearman,0.5475226495019756,2648
G1,43,s2648,pearson,0.5193438911641658,2648
G1,43,s2648,rmse,1.3158597736183637,2648
G1,43,s2648,mae,0.9727883833584311,2648
G1,43,s8754,spearman,0.5265737423081486,8228
G1,43,s8754,pearson,0.4770988759366476,8228
G1,43,s8754,rmse,1.7745809754256594,8228
G1,43,s8754,mae,1.17512479566934,8228
G1,43,ssym_direct,spearman,0.6287758885425361,342
G1,43,ssym_direct,pearson,0.5848002564376443,342
G1,43,ssym_direct,rmse,1.2788666392484995,342
G1,43,ssym_direct,mae,0.9002054402855231,342
G1,43,ssym_inverse,spearman,0.13951693111727168,342
G1,43,ssym_inverse,pearson,0.085441082333972,342
G1,43,ssym_inverse,rmse,2.35093677367585,342
G1,43,ssym_inverse,mae,1.6638949076040535,342
G1,43,s571,spearman,0.310112372652935,571
G1,43,s571,pearson,0.2473825389966808,571
G1,43,s571,rmse,9.09981150265148,571
G1,43,s571,mae,6.018534893137378,571
G1,43,s4346,spearman,0.4647274697819617,3969
G1,43,s4346,pearson,0.41872690927815376,3969
G1,43,s4346,rmse,7.719539548857671,3969
G1,43,s4346,mae,4.792134360396898,3969
G1,43,megascale_test,spearman,0.6095636747732626,28172
G1,43,megascale_test,pearson,0.6422366463111605,28172
G1,43,megascale_test,rmse,0.9273498273218799,28172
G1,43,megascale_test,mae,0.704348530332252,28172
G1,44,s669,spearman,0.40235025860122775,669
G1,44,s669,pearson,0.3681762946416844,669
G1,44,s669,rmse,1.7032326352733276,669
G1,44,s669,mae,1.2318006542069986,669
G1,44,s461,spearman,0.551869356547226,461
G1,44,s461,pearson,0.5487586508908114,461
G1,44,s461,rmse,1.2335630813634757,461
G1,44,s461,mae,0.9304256556947552,461
G1,44,s783,spearman,0.5627561074262548,783
G1,44,s783,pearson,0.5544936842443703,783
G1,44,s783,rmse,1.7456658913090073,783
G1,44,s783,mae,1.282561553656427,783
G1,44,s2648,spearman,0.5434432315528335,2648
G1,44,s2648,pearson,0.5240178189730283,2648
G1,44,s2648,rmse,1.4083209133120538,2648
G1,44,s2648,mae,1.0751550328837611,2648
G1,44,s8754,spearman,0.5190458487456105,8228
G1,44,s8754,pearson,0.4734615709248907,8228
G1,44,s8754,rmse,1.8464791407861374,8228
G1,44,s8754,mae,1.2816077484550328,8228
G1,44,ssym_direct,spearman,0.6610743405525324,342
G1,44,ssym_direct,pearson,0.6396505393201871,342
G1,44,ssym_direct,rmse,1.2889644285598152,342
G1,44,ssym_direct,mae,0.9841240991386231,342
G1,44,ssym_inverse,spearman,0.021208758159002267,342
G1,44,ssym_inverse,pearson,0.07171609138206961,342
G1,44,ssym_inverse,rmse,2.4626380800469576,342
G1,44,ssym_inverse,mae,1.7887439723208285,342
G1,44,s571,spearman,0.2985854702701161,571
G1,44,s571,pearson,0.25252801435733174,571
G1,44,s571,rmse,9.079576233509858,571
G1,44,s571,mae,6.0772284185040855,571
G1,44,s4346,spearman,0.45331161966160555,3969
G1,44,s4346,pearson,0.4060044703680214,3969
G1,44,s4346,rmse,7.656027992726064,3969
G1,44,s4346,mae,4.794076344626234,3969
G1,44,megascale_test,spearman,0.6004871736240202,28172
G1,44,megascale_test,pearson,0.635356903520493,28172
G1,44,megascale_test,rmse,1.181069831064636,28172
G1,44,megascale_test,mae,0.9312245691874991,28172
G2,42,s669,spearman,0.49644362365051997,669
G2,42,s669,pearson,0.46816194565192765,669
G2,42,s669,rmse,1.551470770034454,669
G2,42,s669,mae,1.1070346349407605,669
G2,42,s461,spearman,0.6549427524508494,461
G2,42,s461,pearson,0.6471409305468075,461
G2,42,s461,rmse,1.0720401679974478,461
G2,42,s461,mae,0.7945848687379187,461
G2,42,s783,spearman,0.6224010242084426,783
G2,42,s783,pearson,0.6104258694065346,783
G2,42,s783,rmse,1.6219450652257699,783
G2,42,s783,mae,1.1689188034484213,783
G2,42,s2648,spearman,0.5447784443011253,2648
G2,42,s2648,pearson,0.5231717218380819,2648
G2,42,s2648,rmse,1.4052157766973714,2648
G2,42,s2648,mae,1.0422747115065762,2648
G2,42,s8754,spearman,0.5444124806791224,8228
G2,42,s8754,pearson,0.49359767065735916,8228
G2,42,s8754,rmse,1.8298483802668501,8228
G2,42,s8754,mae,1.2498642939679006,8228
G2,42,ssym_direct,spearman,0.49310786591756167,342
G2,42,ssym_direct,pearson,0.48486543279033884,342
G2,42,ssym_direct,rmse,1.4598076029795795,342
G2,42,ssym_direct,mae,1.019009084740316,342
G2,42,ssym_inverse,spearman,0.3050851150403726,342
G2,42,ssym_inverse,pearson,0.3730839517724366,342
G2,42,ssym_inverse,rmse,1.6889214506104744,342
G2,42,ssym_inverse,mae,1.2125323952900038,342
G2,42,s571,spearman,0.41759505628840377,571
G2,42,s571,pearson,0.39027800943353386,571
G2,42,s571,rmse,8.909172808101719,571
G2,42,s571,mae,5.94721582825842,571
G2,42,s4346,spearman,0.46998032290919733,3969
G2,42,s4346,pearson,0.444333636653875,3969
G2,42,s4346,rmse,7.591620009055459,3969
G2,42,s4346,mae,4.728748497585786,3969
G2,42,megascale_test,spearman,0.6492279344699637,28172
G2,42,megascale_test,pearson,0.6666048151175935,28172
G2,42,megascale_test,rmse,1.1904927466978585,28172
G2,42,megascale_test,mae,0.9189520955784918,28172
G2,43,s669,spearman,0.4875238012744129,669
G2,43,s669,pearson,0.4622683404903495,669
G2,43,s669,rmse,1.5593729632142592,669
G2,43,s669,mae,1.1361140174142492,669
G2,43,s461,spearman,0.6476558975634837,461
G2,43,s461,pearson,0.6309414631056617,461
G2,43,s461,rmse,1.101652082047279,461
G2,43,s461,mae,0.832078321693453,461
G2,43,s783,spearman,0.6221079587981604,783
G2,43,s783,pearson,0.6231086651173987,783
G2,43,s783,rmse,1.6176751939515213,783
G2,43,s783,mae,1.1613905489858654,783
G2,43,s2648,spearman,0.5590823983470568,2648
G2,43,s2648,pearson,0.5389469507971566,2648
G2,43,s2648,rmse,1.3803469656842178,2648
G2,43,s2648,mae,1.0298733773375397,2648
G2,43,s8754,spearman,0.5443531053941236,8228
G2,43,s8754,pearson,0.4973320835229726,8228
G2,43,s8754,rmse,1.8117360481717606,8228
G2,43,s8754,mae,1.2334750532556615,8228
G2,43,ssym_direct,spearman,0.5021572721621992,342
G2,43,ssym_direct,pearson,0.49916691361165266,342
G2,43,ssym_direct,rmse,1.4616986521005744,342
G2,43,ssym_direct,mae,1.0769766617936698,342
G2,43,ssym_inverse,spearman,0.27095883661320935,342
G2,43,ssym_inverse,pearson,0.2939104890999739,342
G2,43,ssym_inverse,rmse,1.8497048688680007,342
G2,43,ssym_inverse,mae,1.343213351247342,342
G2,43,s571,spearman,0.3767231674010032,571
G2,43,s571,pearson,0.36164283813975795,571
G2,43,s571,rmse,8.973577971729878,571
G2,43,s571,mae,5.996305010338589,571
G2,43,s4346,spearman,0.4821754733992073,3969
G2,43,s4346,pearson,0.4399356244717609,3969
G2,43,s4346,rmse,7.626973216805835,3969
G2,43,s4346,mae,4.747554301520076,3969
G2,43,megascale_test,spearman,0.652677266036939,28172
G2,43,megascale_test,pearson,0.674227790174314,28172
G2,43,megascale_test,rmse,1.1192132778854378,28172
G2,43,megascale_test,mae,0.8696331186012031,28172
G2,44,s669,spearman,0.4629560550593726,669
G2,44,s669,pearson,0.43592350615651704,669
G2,44,s669,rmse,1.5836276277388701,669
G2,44,s669,mae,1.144245303886064,669
G2,44,s461,spearman,0.6432425801130008,461
G2,44,s461,pearson,0.6386856577896026,461
G2,44,s461,rmse,1.0730142979903943,461
G2,44,s461,mae,0.8208724298062906,461
G2,44,s783,spearman,0.6061594484123738,783
G2,44,s783,pearson,0.605385132721617,783
G2,44,s783,rmse,1.6259180999362366,783
G2,44,s783,mae,1.1770358683272606,783
G2,44,s2648,spearman,0.5423696421965908,2648
G2,44,s2648,pearson,0.5250437854118576,2648
G2,44,s2648,rmse,1.3733916826973038,2648
G2,44,s2648,mae,1.0192537901668424,2648
G2,44,s8754,spearman,0.5390031730515207,8228
G2,44,s8754,pearson,0.4917201621938171,8228
G2,44,s8754,rmse,1.8102544840944377,8228
G2,44,s8754,mae,1.2391170169251784,8228
G2,44,ssym_direct,spearman,0.5526819233490564,342
G2,44,ssym_direct,pearson,0.5448105340030076,342
G2,44,ssym_direct,rmse,1.3639680312673135,342
G2,44,ssym_direct,mae,0.9867971569778975,342
G2,44,ssym_inverse,spearman,0.33122549351454833,342
G2,44,ssym_inverse,pearson,0.35436531431212737,342
G2,44,ssym_inverse,rmse,1.7036101915016237,342
G2,44,ssym_inverse,mae,1.2451372184839689,342
G2,44,s571,spearman,0.38070214477997216,571
G2,44,s571,pearson,0.3870668619056613,571
G2,44,s571,rmse,8.96128907222236,571
G2,44,s571,mae,6.018752903307278,571
G2,44,s4346,spearman,0.47966950375792244,3969
G2,44,s4346,pearson,0.45178778816474124,3969
G2,44,s4346,rmse,7.636786865222758,3969
G2,44,s4346,mae,4.762341726515475,3969
G2,44,megascale_test,spearman,0.6666868293601736,28172
G2,44,megascale_test,pearson,0.6705785141667367,28172
G2,44,megascale_test,rmse,1.1410330085216684,28172
G2,44,megascale_test,mae,0.8772683815924993,28172
E1,42,s669,spearman,0.4632471235802499,669
E1,42,s669,pearson,0.44016949645295356,669
E1,42,s669,rmse,1.5938165422387989,669
E1,42,s669,mae,1.1694775366089314,669
E1,42,s461,spearman,0.6424358216164949,461
E1,42,s461,pearson,0.6242575405189904,461
E1,42,s461,rmse,1.1242524921988806,461
E1,42,s461,mae,0.859648758718752,461
E1,42,s783,spearman,0.6130499540425671,783
E1,42,s783,pearson,0.6012442217611764,783
E1,42,s783,rmse,1.6582834425209267,783
E1,42,s783,mae,1.1979123160009906,783
E1,42,s2648,spearman,0.5741713266828252,2648
E1,42,s2648,pearson,0.5632817492190677,2648
E1,42,s2648,rmse,1.3601827843877143,2648
E1,42,s2648,mae,1.0254830727184872,2648
E1,42,s8754,spearman,0.5589285450880712,8228
E1,42,s8754,pearson,0.5159069445402139,8228
E1,42,s8754,rmse,1.7850764438105446,8228
E1,42,s8754,mae,1.2219321939268912,8228
E1,42,ssym_direct,spearman,0.4732061341844289,342
E1,42,ssym_direct,pearson,0.4659273872977712,342
E1,42,ssym_direct,rmse,1.4811738327312978,342
E1,42,ssym_direct,mae,1.0737665847532059,342
E1,42,ssym_inverse,spearman,0.34746151951809606,342
E1,42,ssym_inverse,pearson,0.3513999605083357,342
E1,42,ssym_inverse,rmse,1.7425824773398433,342
E1,42,ssym_inverse,mae,1.272500850445433,342
E1,42,s571,spearman,0.39577573327695104,571
E1,42,s571,pearson,0.36702547772885713,571
E1,42,s571,rmse,8.9880032391062,571
E1,42,s571,mae,6.0006418630102365,571
E1,42,s4346,spearman,0.4753771740402127,3969
E1,42,s4346,pearson,0.4345546978578323,3969
E1,42,s4346,rmse,7.700210474299944,3969
E1,42,s4346,mae,4.8169363192922035,3969
E1,42,megascale_test,spearman,0.6713546133674532,28172
E1,42,megascale_test,pearson,0.6786207992204939,28172
E1,42,megascale_test,rmse,1.1238711784000706,28172
E1,42,megascale_test,mae,0.8791461038558888,28172
E1,43,s669,spearman,0.4654021528266305,669
E1,43,s669,pearson,0.43946121334112004,669
E1,43,s669,rmse,1.625284258171278,669
E1,43,s669,mae,1.174466284704694,669
E1,43,s461,spearman,0.6538297160190951,461
E1,43,s461,pearson,0.63434785586337,461
E1,43,s461,rmse,1.124444039530238,461
E1,43,s461,mae,0.8385943575007659,461
E1,43,s783,spearman,0.6377301812778006,783
E1,43,s783,pearson,0.6312114156876344,783
E1,43,s783,rmse,1.6001965725465193,783
E1,43,s783,mae,1.1826677687732576,783
E1,43,s2648,spearman,0.5422054251022042,2648
E1,43,s2648,pearson,0.5310177713463575,2648
E1,43,s2648,rmse,1.4590474586325046,2648
E1,43,s2648,mae,1.0883469869350322,2648
E1,43,s8754,spearman,0.5497164135519641,8228
E1,43,s8754,pearson,0.5082334562560609,8228
E1,43,s8754,rmse,1.8286095075757125,8228
E1,43,s8754,mae,1.2597640661395577,8228
E1,43,ssym_direct,spearman,0.49866321586794804,342
E1,43,ssym_direct,pearson,0.4741946353216546,342
E1,43,ssym_direct,rmse,1.5124980101885077,342
E1,43,ssym_direct,mae,1.0965623230460966,342
E1,43,ssym_inverse,spearman,0.22686548765250755,342
E1,43,ssym_inverse,pearson,0.25993680082398574,342
E1,43,ssym_inverse,rmse,2.039197480436848,342
E1,43,ssym_inverse,mae,1.4969760347266643,342
E1,43,s571,spearman,0.40201164347071194,571
E1,43,s571,pearson,0.3755286054285975,571
E1,43,s571,rmse,8.91138544519295,571
