config,benchmark,seed,status
E2,s669,42,ok n=669
E2,s669,43,ok n=669
E2,s669,44,ok n=669
E2,s461,42,ok n=461
E2,s461,43,ok n=461
E2,s461,44,ok n=461
E2,s783,42,ok n=783
E2,s783,43,ok n=783
E2,s783,44,ok n=783
E2,s2648,42,ok n=2648
E2,s2648,43,ok n=2648
E2,s2648,44,ok n=2648
E2,s8754,42,ok n=8228
E2,s8754,43,ok n=8228
E2,s8754,44,ok n=8228
E2,s571,42,ok n=571
E2,s571,43,ok n=571
E2,s571,44,ok n=571
E2,s4346,42,ok n=3969
E2,s4346,43,ok n=3969
E2,s4346,44,ok n=3969
E2,ssym_direct,42,ok n=342
E2,ssym_direct,43,ok n=342
E2,ssym_direct,44,ok n=342
E2,ssym_inverse,42,ok n=342
E2,ssym_inverse,43,ok n=342
E2,ssym_inverse,44,ok n=342
E2,fireport_hf,42,ok n=2578
E2,fireport_hf,43,ok n=2578
E2,fireport_hf,44,ok n=2578
E2,megascale_test,42,ok n=28172
E2,megascale_test,43,ok n=28172
E2,megascale_test,44,ok n=28172
E2noOOD,s669,42,ok n=669
E2noOOD,s669,43,ok n=669
E2noOOD,s669,44,ok n=669
E2noOOD,s461,42,ok n=461
E2noOOD,s461,43,ok n=461
E2noOOD,s461,44,ok n=461
E2noOOD,s783,42,ok n=783
E2noOOD,s783,43,ok n=783
E2noOOD,s783,44,ok n=783
E2noOOD,s2648,42,ok n=2648
E2noOOD,s2648,43,ok n=2648
E2noOOD,s2648,44,ok n=2648
E2noOOD,s8754,42,ok n=8228
E2noOOD,s8754,43,ok n=8228
E2noOOD,s8754,44,ok n=8228
E2noOOD,s571,42,ok n=571
E2noOOD,s571,43,ok n=571
E2noOOD,s571,44,ok n=571
E2noOOD,s4346,42,ok n=3969
E2noOOD,s4346,43,ok n=3969
E2noOOD,s4346,44,ok n=3969
E2noOOD,ssym_direct,42,ok n=342
E2noOOD,ssym_direct,43,ok n=342
E2noOOD,ssym_direct,44,ok n=342
E2noOOD,ssym_inverse,42,ok n=342
E2noOOD,ssym_inverse,43,ok n=342
E2noOOD,ssym_inverse,44,ok n=342
E2noOOD,fireport_hf,42,ok n=2578
E2noOOD,fireport_hf,43,ok n=2578
E2noOOD,fireport_hf,44,ok n=2578
E2noOOD,megascale_test,42,ok n=28172
E2noOOD,megascale_test,43,ok n=28172
E2noOOD,megascale_test,44,ok n=28172
